,date,type,registration,operator,fat.,location,Unnamed: 6,pic,cat,url
102,14-JUL-2011,Cessna 560XL Citation XLS,5N-BMM,Bristow Helicopters,0,Port Harcour...,,,A1,https://aviation-safety.net/database/record.php?id=20110714-1
103,14-JUL-2011,Boeing 767-332ER (WL),N185DN,Delta Air Lines,0,Boston-Logan...,,,A2,https://aviation-safety.net/database/record.php?id=20110714-2
104,14-JUL-2011,Canadair CRJ-900ER,N132EV,"Delta Connection, opb ASA",0,Boston-Logan...,,,A2,https://aviation-safety.net/database/record.php?id=20110714-3
105,17-JUL-2011,ATR 72-212,EI-SLM,"Air Contractors, op.for Aer Arann",0,Shannon Airp...,,,A1,https://aviation-safety.net/database/record.php?id=20110717-0
106,23-JUL-2011,Cessna 208 Caravan I,3009,South African AF,0,"Kei Mouth, E...",,,A1,https://aviation-safety.net/database/record.php?id=20110723-0
107,26-JUL-2011,Lockheed C-130H Hercules,CNA-OQ,Moroccan AF,80,near Goulimime Ai...,,,A1,https://aviation-safety.net/database/record.php?id=20110726-0
108,27-JUL-2011,Antonov An-2R,RA-33046,Vostok-Zapad,0,Bichevaya,,,O1,https://aviation-safety.net/database/record.php?id=20110727-0
109,28-JUL-2011,Boeing 747-48EF,HL7604,Asiana Airlines,2,"near Jeju, South ...",,,A1,https://aviation-safety.net/database/record.php?id=20110728-0
110,29-JUL-2011,Boeing 777-266ER,SU-GBP,EgyptAir,0,Cairo Intern...,,,A1,https://aviation-safety.net/database/record.php?id=20110729-0
111,30-JUL-2011,Boeing 737-8BK (WL),9Y-PBM,Caribbean Airlines,0,Georgetown-C...,,,A1,https://aviation-safety.net/database/record.php?id=20110730-0
112,30-JUL-2011,Canadair CRJ-200ER,EC-ITU,Air Nostrum,0,Barcelona Ai...,,,A1,https://aviation-safety.net/database/record.php?id=20110730-1
113,02-AUG-2011,Cessna C-98A Grand Caravan (208B),2735,Brazilian AF,8,near Bom Jardim d...,,,A1,https://aviation-safety.net/database/record.php?id=20110802-0
114,03-AUG-2011,Convair CV-580,C-GKFP,Nolinor Aviation,0,Kasba Lake A...,,,A1,https://aviation-safety.net/database/record.php?id=20110803-0
115,08-AUG-2011,Antonov An-24RV,RA-46561,IrAero,0,Blagoveshche...,,,A1,https://aviation-safety.net/database/record.php?id=20110808-0
116,09-AUG-2011,Antonov An-12AP,RA-11125,"KnAAPO, op.for Avis Amur",11,near Omsukchan,,,A1,https://aviation-safety.net/database/record.php?id=20110809-0
117,15-AUG-2011,Lockheed C-130 Hercules,,USAF,0,near Afghanistan,,,A2,https://aviation-safety.net/database/record.php?id=20110815-0
118,20-AUG-2011,Boeing 737-210C,C-GNWN,First Air,12,near Resolute Air...,,,A1,https://aviation-safety.net/database/record.php?id=20110820-0
119,20-AUG-2011,BN-2A-7 Islander,8R-GHD,Trans Guyana Airways,0,Port Kaituma...,,,A1,https://aviation-safety.net/database/record.php?id=20110820-1
120,22-AUG-2011,Antonov An-2,-,Sayanian Cedar,1,Todzhi distr...,,,A1,https://aviation-safety.net/database/record.php?id=20110822-0
121,24-AUG-2011,DHC-6 Twin Otter 310,9M-MDM,MASwings,0,Lawas Airpor...,,,A2,https://aviation-safety.net/database/record.php?id=20110824-0
122,25-AUG-2011,Airbus A300B4-620,5A-IAY,Afriqiyah Airways,0,Tripoli Inte...,,,C1,https://aviation-safety.net/database/record.php?id=20110825-0
123,25-AUG-2011,Airbus A300B4-622R,5A-DLZ,Libyan Arab Airlines,0,Tripoli Inte...,,,C1,https://aviation-safety.net/database/record.php?id=20110825-1
124,25-AUG-2011,Airbus A320-214,5A-ONK,Afriqiyah Airways,0,Tripoli Inte...,,,C1,https://aviation-safety.net/database/record.php?id=20110825-2
125,26-AUG-2011,Ilyushin Il-76,,Unknown,0,Tripoli Inte...,,,C1,https://aviation-safety.net/database/record.php?id=20110826-0
126,28-AUG-2011,Antonov An-2R,RA-01105,Aviakompaniya Pilot,1,near Neschadinovs...,,,A1,https://aviation-safety.net/database/record.php?id=20110828-0
127,29-AUG-2011,Airbus A320-214,A9C-AG,Gulf Air,0,Cochin Inter...,,,A2,https://aviation-safety.net/database/record.php?id=20110829-0
128,31-AUG-2011,Antonov An-2T,RF-00844,DOSAAF,0,"near Magan, Yakut...",,,A1,https://aviation-safety.net/database/record.php?id=20110831-0
